variable,mode,boundary_type,role,surrogate_false_brackets,found,boundary_value,bracket_lower,bracket_upper,response_lower,response_upper,closest_grid_value,closest_response
capex_U_multiplier,STATE_OWNED,C_INVEST_PROB_50,supplementary,0,False,,,,,,0.69999999999999996,0.084073134820416326
capex_U_multiplier,STATE_OWNED,U_INVEST_PROB_50,supplementary,0,False,,,,,,0.69999999999999996,0.084073134820416326
carbon_scale,TRANSFER,SYSTEM_NPV_ZERO,main,0,False,,,,,,0.67249999999999999,2.1030973246078832
carbon_scale,TRANSFER,C_VALUE_ZERO,main,1,False,,,,,,0.57187500000000002,0.00081487867725994463
carbon_scale,TRANSFER,U_VALUE_ZERO,main,1,False,,,,,,0.88812500000000005,0.25136950424139809
carbon_scale,TRANSFER,C_INVEST_PROB_50,main,1,False,,,,,,2.9581249999999999,0.51037461955843544
carbon_scale,TRANSFER,U_INVEST_PROB_50,main,1,False,,,,,,2.9581249999999999,0.51037461955843544
carbon_scale,TRANSFER,CO2_PRICE_ZERO,main,0,False,,,,,,6.1924999999999999,111.46442471707611
carbon_scale,TRANSFER,STORAGE_FEE_ZERO,main,0,False,,,,,,0.72999999999999998,184.59670309276356
carbon_scale,JOINT_VENTURE,SYSTEM_NPV_ZERO,main,1,False,,,,,,0.78750000000000009,0.38788631086764763
carbon_scale,JOINT_VENTURE,C_VALUE_ZERO,main,0,False,,,,,,0.5,0.096113598408399226
carbon_scale,JOINT_VENTURE,U_VALUE_ZERO,main,0,False,,,,,,0.5,0.56346212111369753
carbon_scale,JOINT_VENTURE,C_INVEST_PROB_50,main,1,False,,,,,,2.8431250000000001,0.50236285333179509
carbon_scale,JOINT_VENTURE,U_INVEST_PROB_50,main,1,False,,,,,,2.8431250000000001,0.50236285333179509
carbon_scale,JOINT_VENTURE,CO2_PRICE_ZERO,main,0,False,,,,,,6.1924999999999999,88.193289742161866
carbon_scale,STATE_OWNED,SYSTEM_NPV_ZERO,main,0,False,,,,,,0.5,2.2513709249877754
carbon_scale,STATE_OWNED,C_INVEST_PROB_50,main,1,False,,,,,,2.4406249999999998,0.50488100586205353
carbon_scale,STATE_OWNED,U_INVEST_PROB_50,main,1,False,,,,,,2.4406249999999998,0.50488100586205353
